year,Managers,Professionals,Technicians and associate professionals,Clerical support workers,Service and sales workers,Craft and related trades workers,"Plant and machine operators, and assemblers","Elementary occupations and skilled agricultural, forestry and fishery workers"
1991,12.745,12.93,10.98,5.524,8.889,16.113,15.657,17.161
1992,12.637,13.019,11.307,5.649,9.059,16.283,15.295,16.752
1993,12.764,13.083,11.188,5.524,9.277,15.82,15.013,17.332
1994,12.323,13.634,10.982,5.326,9.1,15.864,15.632,17.138
1995,13.148,13.068,10.97,5.064,8.847,15.899,16.114,16.889
1996,12.959,13.351,10.956,5.177,9.166,15.918,15.341,17.131
1997,11.686,14.212,10.119,5.342,9.622,17.554,15.356,16.108
1998,11.2,14.255,10.632,5.5,9.77,17.407,15.406,15.831
1999,11.573,14.501,10.648,5.518,9.65,17.768,15.731,14.612
2000,11.684,14.266,11.028,5.595,9.599,17.49,16.114,14.223
2001,11.032,14.486,11.277,5.74,10.29,17.682,15.946,13.547
2002,11.091,14.567,10.796,5.912,10.084,18.054,16.047,13.448
2003,10.768,14.061,11.202,5.9,10.025,17.996,16.086,13.963
2004,11.007,14.101,10.986,6.055,10.207,17.88,15.833,13.931
2005,11.08,15.062,11.446,5.878,9.828,17.601,15.159,13.945
2006,11.233,15.572,11.333,6.121,9.791,17.381,14.805,13.764
2007,10.904,15.835,11.313,6.009,10.208,17.672,14.344,13.715
2008,11.359,15.882,11.503,6.055,10.094,18.179,13.869,13.06
2009,11.272,16.079,11.977,6.02,10.524,17.923,13.328,12.877
2010,11.111,16.568,12.223,5.776,10.494,17.683,13.315,12.83
2011,10.536,16.633,11.828,6.239,10.44,17.766,13.423,13.136
2012,10.776,16.453,11.682,5.792,10.568,18.124,13.462,13.142
2013,10.369,16.527,11.936,5.858,10.744,17.727,13.673,13.166
2014,10.037,16.532,12.296,5.955,10.692,17.817,13.7,12.97
2015,9.868,16.854,12.356,5.875,10.81,17.584,13.803,12.849
2016,9.82,16.826,12.463,5.895,10.866,17.794,13.653,12.683
2017,9.718,16.969,12.537,5.888,10.895,17.781,13.659,12.553
2018,9.622,17.103,12.624,5.875,10.969,17.807,13.594,12.406
2019,9.529,17.233,12.716,5.867,11.038,17.823,13.535,12.258
2020,9.438,17.353,12.8,5.857,11.09,17.852,13.494,12.116
2021,9.348,17.475,12.88,5.846,11.14,17.882,13.453,11.977
2022,9.258,17.597,12.962,5.836,11.189,17.91,13.41,11.838
2023,9.17,17.717,13.045,5.824,11.235,17.939,13.368,11.701
2024,9.082,17.839,13.129,5.814,11.28,17.966,13.325,11.565